epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7416,1.42738,2.26279,1.30955,0.9938,0.95458,0.98839,0.65527,0.99052,2.16403,1.04441,0.000650794,0.000650794,0.000650794
2,19.9445,0.99691,1.1665,1.02719,0.81034,0.83927,0.85723,0.51672,1.25444,2.06493,1.51175,0.00130442,0.00130442,0.00130442
3,27.9687,0.97194,0.99283,1.03416,0.98413,0.9881,0.99459,0.72367,0.90254,1.13376,1.03425,0.00194484,0.00194484,0.00194484
4,36.0082,0.93272,0.86633,0.99702,0.70501,0.73973,0.76436,0.5048,1.05142,1.70045,1.18106,0.0019406,0.0019406,0.0019406
5,44.1677,0.92361,0.77376,0.99863,0.9939,0.96924,0.99016,0.74589,0.87552,0.70995,0.99014,0.0019208,0.0019208,0.0019208
6,52.9152,0.88896,0.69399,0.9683,0.99354,0.95238,0.97488,0.77675,0.84892,0.65408,0.97772,0.001901,0.001901,0.001901
7,60.1953,0.87959,0.66083,0.97497,0.99261,1,0.99476,0.75165,0.82834,0.54065,0.98912,0.0018812,0.0018812,0.0018812
8,68.0275,0.87525,0.605,0.99244,0.98573,0.93452,0.97432,0.75229,0.82479,0.56421,0.99095,0.0018614,0.0018614,0.0018614
9,75.5381,0.85261,0.58031,0.97276,0.98618,1,0.99476,0.79031,0.74133,0.52487,0.91921,0.0018416,0.0018416,0.0018416
10,83.6042,0.89333,0.58734,0.97934,0.98511,1,0.9944,0.79381,0.73189,0.43346,0.95767,0.0018218,0.0018218,0.0018218
11,91.3245,0.83231,0.54124,0.96955,0.99645,1,0.995,0.81023,0.7044,0.38916,0.92267,0.001802,0.001802,0.001802
12,99.1841,0.83567,0.53523,0.97294,0.99407,0.99788,0.99482,0.81813,0.70615,0.40308,0.9271,0.0017822,0.0017822,0.0017822
13,106.992,0.83135,0.53136,0.95881,0.99511,0.99405,0.995,0.80026,0.74329,0.393,0.95305,0.0017624,0.0017624,0.0017624
14,115.086,0.79001,0.49812,0.96385,0.99853,1,0.995,0.80336,0.75894,0.40286,0.93796,0.0017426,0.0017426,0.0017426
15,122.644,0.78444,0.49833,0.94956,1,0.99904,0.995,0.7639,0.83484,0.42535,1.0427,0.0017228,0.0017228,0.0017228
16,130.207,0.78367,0.48051,0.95164,0.99148,0.99405,0.99494,0.80458,0.7174,0.40239,0.91734,0.001703,0.001703,0.001703
17,137.983,0.77272,0.47131,0.95022,0.99348,1,0.995,0.82305,0.68581,0.36368,0.91473,0.0016832,0.0016832,0.0016832
18,145.917,0.76577,0.46877,0.94851,1,0.99316,0.995,0.80914,0.71591,0.37388,0.90761,0.0016634,0.0016634,0.0016634
19,153.606,0.76004,0.46298,0.94389,0.99818,0.99405,0.995,0.79644,0.74089,0.382,0.95198,0.0016436,0.0016436,0.0016436
20,161.231,0.7789,0.46772,0.95092,0.99832,1,0.995,0.80039,0.73342,0.405,0.92727,0.0016238,0.0016238,0.0016238
21,168.56,0.76474,0.45278,0.94944,0.99364,1,0.995,0.79127,0.79575,0.38193,1.00357,0.001604,0.001604,0.001604
22,176.892,0.79322,0.45763,0.96207,0.99405,1,0.995,0.77427,0.74302,0.37337,0.92568,0.0015842,0.0015842,0.0015842
23,184.692,0.74388,0.45803,0.94046,0.98607,1,0.99447,0.78763,0.72982,0.37713,0.91441,0.0015644,0.0015644,0.0015644
24,192.229,0.73258,0.44042,0.94593,0.9981,1,0.995,0.83832,0.62513,0.33275,0.8963,0.0015446,0.0015446,0.0015446
25,200.176,0.74397,0.43494,0.95332,0.99349,1,0.995,0.82342,0.70454,0.34129,0.94547,0.0015248,0.0015248,0.0015248
26,207.498,0.77886,0.44168,0.95126,0.99955,0.99405,0.995,0.84082,0.6726,0.36134,0.92056,0.001505,0.001505,0.001505
27,215.686,0.76731,0.43306,0.94861,0.99952,1,0.995,0.83613,0.69562,0.3429,0.9017,0.0014852,0.0014852,0.0014852
28,223.182,0.74742,0.43812,0.95054,0.99953,1,0.995,0.80508,0.7076,0.36507,0.90819,0.0014654,0.0014654,0.0014654
29,231.099,0.75668,0.43376,0.95171,0.99873,0.99405,0.995,0.74956,0.99255,0.43406,0.97153,0.0014456,0.0014456,0.0014456
30,239.088,0.74224,0.43094,0.93981,0.99962,1,0.995,0.82295,0.67823,0.34407,0.92757,0.0014258,0.0014258,0.0014258
31,247.337,0.72707,0.41634,0.94586,0.99925,1,0.995,0.81139,0.71914,0.33177,0.92152,0.001406,0.001406,0.001406
32,253.823,0.7116,0.41611,0.9416,0.99408,0.99923,0.995,0.83968,0.67838,0.341,0.91421,0.0013862,0.0013862,0.0013862
33,261.214,0.68416,0.39321,0.91955,0.99879,1,0.995,0.84886,0.64982,0.31368,0.91043,0.0013664,0.0013664,0.0013664
34,268.86,0.7247,0.41898,0.94049,0.99913,1,0.995,0.82719,0.6758,0.35375,0.91881,0.0013466,0.0013466,0.0013466
35,277.061,0.72437,0.40836,0.93589,1,0.99963,0.995,0.83649,0.70629,0.32943,0.92523,0.0013268,0.0013268,0.0013268
36,284.883,0.74299,0.42597,0.93972,0.99408,0.99979,0.995,0.81141,0.68309,0.37105,0.90513,0.001307,0.001307,0.001307
37,292.432,0.68711,0.40348,0.93137,0.99972,1,0.995,0.81786,0.65877,0.35153,0.9045,0.0012872,0.0012872,0.0012872
38,300.034,0.70605,0.40077,0.93767,0.99936,1,0.995,0.82106,0.77125,0.34308,0.92145,0.0012674,0.0012674,0.0012674
39,307.749,0.69226,0.39626,0.92626,0.99959,1,0.995,0.8457,0.63769,0.32398,0.89961,0.0012476,0.0012476,0.0012476
40,315.471,0.69638,0.39266,0.94083,0.99972,1,0.995,0.83899,0.64422,0.32796,0.902,0.0012278,0.0012278,0.0012278
41,322.883,0.6965,0.39297,0.93511,0.99364,1,0.99482,0.854,0.61246,0.30493,0.88645,0.001208,0.001208,0.001208
42,330.905,0.67893,0.39774,0.92789,1,0.99949,0.995,0.83367,0.64865,0.35429,0.89693,0.0011882,0.0011882,0.0011882
43,338.664,0.6749,0.3844,0.92375,0.99962,1,0.995,0.83933,0.65617,0.33448,0.90874,0.0011684,0.0011684,0.0011684
44,346.405,0.68458,0.38246,0.92765,0.99371,1,0.99441,0.85579,0.64886,0.31926,0.89861,0.0011486,0.0011486,0.0011486
45,353.822,0.67844,0.38388,0.92661,0.99961,1,0.995,0.84789,0.63257,0.31688,0.88396,0.0011288,0.0011288,0.0011288
46,361.601,0.65072,0.38043,0.91899,0.99963,1,0.995,0.8509,0.61344,0.30314,0.87594,0.001109,0.001109,0.001109
47,369.745,0.66437,0.37618,0.92,0.99961,1,0.995,0.84827,0.61313,0.3033,0.88326,0.0010892,0.0010892,0.0010892
48,377.156,0.65101,0.37044,0.92047,0.99927,1,0.995,0.85348,0.63129,0.31276,0.90252,0.0010694,0.0010694,0.0010694
49,384.792,0.66531,0.37667,0.92218,0.99959,1,0.995,0.84379,0.65353,0.31849,0.89507,0.0010496,0.0010496,0.0010496
50,392.826,0.67555,0.37907,0.93043,0.99368,1,0.9947,0.84173,0.65539,0.31072,0.89995,0.0010298,0.0010298,0.0010298
51,400.433,0.67096,0.37356,0.92618,0.99375,1,0.99435,0.86257,0.59749,0.28875,0.88374,0.00101,0.00101,0.00101
52,408.089,0.68274,0.37765,0.92067,0.99837,1,0.995,0.86052,0.63929,0.3008,0.9045,0.0009902,0.0009902,0.0009902
53,415.682,0.66142,0.36855,0.91711,0.99326,1,0.99476,0.85419,0.60283,0.29976,0.89667,0.0009704,0.0009704,0.0009704
54,423.774,0.64303,0.36577,0.92148,0.99959,1,0.995,0.86216,0.61402,0.30654,0.8813,0.0009506,0.0009506,0.0009506
55,431.62,0.63165,0.36178,0.913,0.99959,1,0.995,0.85929,0.60995,0.2974,0.88081,0.0009308,0.0009308,0.0009308
56,439.003,0.63604,0.35922,0.91341,0.99959,1,0.995,0.85581,0.60031,0.3053,0.87404,0.000911,0.000911,0.000911
57,446.627,0.63511,0.36459,0.91401,0.99961,1,0.995,0.85824,0.61493,0.29452,0.88302,0.0008912,0.0008912,0.0008912
58,454.537,0.64548,0.37053,0.91723,0.99401,1,0.995,0.85211,0.63441,0.3078,0.89232,0.0008714,0.0008714,0.0008714
59,462.203,0.62935,0.35737,0.91765,0.99961,1,0.995,0.8618,0.61994,0.29452,0.88582,0.0008516,0.0008516,0.0008516
60,469.761,0.64191,0.35598,0.91332,0.99912,1,0.995,0.85757,0.62013,0.29283,0.88267,0.0008318,0.0008318,0.0008318
61,477.648,0.63279,0.35129,0.91008,0.99963,1,0.995,0.86932,0.60829,0.29839,0.87903,0.000812,0.000812,0.000812
62,485.525,0.6376,0.35389,0.91953,0.99937,1,0.995,0.86479,0.62393,0.30487,0.88298,0.0007922,0.0007922,0.0007922
63,493.167,0.63788,0.35477,0.92011,0.99962,1,0.995,0.87448,0.6044,0.29309,0.89037,0.0007724,0.0007724,0.0007724
64,500.863,0.62514,0.34405,0.91019,0.9996,1,0.995,0.87877,0.58634,0.28801,0.87181,0.0007526,0.0007526,0.0007526
65,508.584,0.6126,0.33603,0.90292,0.99661,1,0.995,0.87615,0.59492,0.28539,0.88962,0.0007328,0.0007328,0.0007328
66,516.671,0.61354,0.33812,0.9029,0.99902,1,0.995,0.87318,0.61221,0.29853,0.88144,0.000713,0.000713,0.000713
67,524.227,0.60695,0.34388,0.90097,0.99964,1,0.995,0.87319,0.61471,0.28975,0.8694,0.0006932,0.0006932,0.0006932
68,531.835,0.61546,0.33806,0.90847,0.99962,1,0.995,0.8686,0.59569,0.2693,0.86842,0.0006734,0.0006734,0.0006734
69,539.415,0.58956,0.32175,0.90772,0.99961,1,0.995,0.86976,0.61513,0.27734,0.86965,0.0006536,0.0006536,0.0006536
70,547.262,0.5974,0.32574,0.90214,0.99965,1,0.995,0.87531,0.60366,0.27852,0.86938,0.0006338,0.0006338,0.0006338
71,554.974,0.61852,0.34122,0.90916,0.99965,1,0.995,0.87027,0.58741,0.26897,0.87203,0.000614,0.000614,0.000614
72,562.492,0.60157,0.33446,0.89866,0.99965,1,0.995,0.87193,0.5987,0.27095,0.87361,0.0005942,0.0005942,0.0005942
73,570.157,0.59071,0.32361,0.89723,0.99965,1,0.995,0.87587,0.58852,0.26846,0.86439,0.0005744,0.0005744,0.0005744
74,578.177,0.57894,0.31763,0.89829,0.99964,1,0.995,0.8572,0.60969,0.27291,0.86626,0.0005546,0.0005546,0.0005546
75,585.797,0.58253,0.31924,0.90309,0.99966,1,0.995,0.87539,0.60531,0.26582,0.8843,0.0005348,0.0005348,0.0005348
76,593.45,0.60237,0.33503,0.91763,0.99376,1,0.99494,0.88195,0.57058,0.27028,0.86511,0.000515,0.000515,0.000515
77,601.217,0.57822,0.32307,0.8943,0.9997,1,0.995,0.87738,0.60991,0.26772,0.86928,0.0004952,0.0004952,0.0004952
78,608.922,0.56925,0.32081,0.88863,0.99967,1,0.995,0.87998,0.58438,0.26505,0.86651,0.0004754,0.0004754,0.0004754
79,616.579,0.57508,0.31994,0.89961,0.99966,1,0.995,0.86864,0.57218,0.26853,0.86623,0.0004556,0.0004556,0.0004556
80,624.314,0.57815,0.32034,0.89605,0.99964,1,0.995,0.87206,0.58508,0.26425,0.86312,0.0004358,0.0004358,0.0004358
81,632.503,0.57344,0.31669,0.89893,0.99963,1,0.995,0.87521,0.57417,0.26293,0.86468,0.000416,0.000416,0.000416
82,640.16,0.56948,0.3128,0.89233,0.99964,1,0.995,0.87647,0.5921,0.26042,0.86523,0.0003962,0.0003962,0.0003962
83,648.121,0.58097,0.30926,0.90606,0.99968,1,0.995,0.8836,0.57766,0.25368,0.86247,0.0003764,0.0003764,0.0003764
84,655.644,0.58803,0.31212,0.89887,0.99967,1,0.995,0.88568,0.58852,0.26358,0.86535,0.0003566,0.0003566,0.0003566
85,663.79,0.56291,0.31285,0.90121,0.99967,1,0.995,0.88061,0.57176,0.25391,0.86563,0.0003368,0.0003368,0.0003368
86,671.449,0.54729,0.30347,0.88996,0.99967,1,0.995,0.88466,0.56171,0.24178,0.86345,0.000317,0.000317,0.000317
87,679.023,0.5609,0.30616,0.89708,0.99968,1,0.995,0.87841,0.57804,0.26136,0.86372,0.0002972,0.0002972,0.0002972
88,686.832,0.55381,0.30101,0.89,0.99969,1,0.995,0.87315,0.58156,0.25323,0.86524,0.0002774,0.0002774,0.0002774
89,694.478,0.56099,0.30666,0.89677,0.99969,1,0.995,0.86963,0.59797,0.26706,0.87464,0.0002576,0.0002576,0.0002576
90,702.182,0.56346,0.30136,0.89617,0.99968,1,0.995,0.87169,0.60118,0.26115,0.87213,0.0002378,0.0002378,0.0002378
91,712.923,0.52946,0.27388,0.86475,0.99898,1,0.995,0.8678,0.58758,0.26295,0.87944,0.000218,0.000218,0.000218
92,720.065,0.49771,0.25735,0.85511,0.99966,1,0.995,0.87729,0.56305,0.25863,0.86104,0.0001982,0.0001982,0.0001982
93,727.521,0.48526,0.24962,0.85833,0.99967,1,0.995,0.87223,0.57213,0.24841,0.871,0.0001784,0.0001784,0.0001784
94,734.829,0.48313,0.24725,0.86268,0.99964,1,0.995,0.88403,0.56797,0.24724,0.86763,0.0001586,0.0001586,0.0001586
95,742.268,0.47143,0.24395,0.86122,0.99966,1,0.995,0.88209,0.55599,0.2509,0.87002,0.0001388,0.0001388,0.0001388
96,749.647,0.47581,0.24674,0.85921,0.99964,1,0.995,0.87559,0.56542,0.25194,0.86863,0.000119,0.000119,0.000119
97,757.029,0.47886,0.24806,0.8483,0.99964,1,0.995,0.88914,0.56393,0.2452,0.86654,9.92e-05,9.92e-05,9.92e-05
98,764.172,0.45931,0.2348,0.85054,0.99964,1,0.995,0.88666,0.56632,0.24504,0.86662,7.94e-05,7.94e-05,7.94e-05
99,771.658,0.47522,0.24437,0.85093,0.99965,1,0.995,0.88958,0.56797,0.24423,0.86529,5.96e-05,5.96e-05,5.96e-05
100,779.093,0.46238,0.23631,0.85825,0.99965,1,0.995,0.88948,0.55828,0.24239,0.86416,3.98e-05,3.98e-05,3.98e-05
